name,picture,address,city,province,postalCode,phone,website,price,rating,tag
Pizza Hotline,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\pizza-hotline.jpg,2795 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-222-2222,pizzahotline.ca,$,2,Pizza
Sky World Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\skyworld.jpg,2795 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-261-5733,,$$,3,Japanese
Chatime Winnipeg,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\chatime.jpg,2800 Pembina Highway,Winnipeg,MB,R3T 5P3,1 204-615-1878,,$$$,2,Cafe
Jupiter Artistic Cake,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\cake.jpg,2800 Pembina Highway,Winnipeg,MB,R3T 5P3,1 204-615-6747,,$$$,4,Bakery
Subway,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\subway-pembina.jpg,2750 Pembina Highway,Winnipeg,MB,R3T 2H8,1 204-261-7488,subway.ca,$$,3,Sandwich
Boston Pizza,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\bostonPizza.jpg,2729 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-261-7111,bostonpizza.com,$$$,3,Pizza
Dim Sum Garden Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\dim-sum.jpg,2677 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-269-7799,,$$,4,Chinese
Pizza Pizza,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\pizza.jpg,2677 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-957-1111,pizzapizza.ca,$,3,Pizza
Wild Wing,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\wild-wing.jpg,2589 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-691-9464,wildwingrestaurants.com,$$,3,Pub
Santa Lucia Pizza,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\santa-lucia.jpg,2589 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-269-4611,santaluciapizza.com,$$$,4,Pizza
Kazoku Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\kazoku.jpg,2579 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-269-0042,,$$,4,Japanese
Dairy Queen,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\dq.jpg,2525 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-269-4522,dairyqueen.com,$,3,Ice Cream
Five Guys Burgers and Fries,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\five-guys.jpg,2425 Pembina Highway,Winnipeg,MB,R3T 2H4,1 204-261-5555,fiveguys.com,$$,4,Burger
Sushi Jet,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\sushi-jet.jpg,2425 Pembina Highway,Winnipeg,MB,R3T 2H4,1 204-339-7888,sushijet.com,$$,3,Japanese
Tim Hortons,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\tim-h-pembina.jpg,2405 Pembina Highway,Winnipeg,MB,R3T 2H4,1 204-269-3605,timhortons.com,$,2,Cafe
Hong Du Kkae,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\hong-du.jpg,2241 Pembina Highway,Winnipeg,MB,R3T 2H4,1 204-219-0025,,$$,2,Korean
Golden Loong Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\golden-loong.jpg,2237 Pembina Highway,Winnipeg,MB,R3T 2H1,1 204-504-6766,,$$,4,Chinese
Taco Bell,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\taco-bell.jpg,2079 Pembina Highway,Winnipeg,MB,R3T 5L1,1 204-987-8312,tacobell.ca,$,2,Mexican
Subway,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\subway.jpg,2075 Pembina Highway,Winnipeg,MB,R3T 5L1,1 204-269-7778,subway.ca,$$,3,Sandwich
Sun Fortune,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\sun-fortune.jpg,2077 Pembina Highway,Winnipeg,MB,R3T 5L1,1 204-269-6868,sunfortunerestaurant.com,$$,4,Chinese
Nicolino's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\nicolinos.jpg,2077 Pembina Highway,Winnipeg,MB,R3T 5J9,1 204-269-5004,nicolinorestaurant.com,$$$,3,Italian
Kiwa Korean Cuisine,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\kiwa-korean.jpg,2077 Pembina Highway,Winnipeg,MB,R3P 5J9,1 204-261-3131,,$$,4,Korean
Applebee's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\applebees.jpg,2065 Pembina Highway,Winnipeg,MB,R3T 5J9,1 204-275-2272,applebeescanada.com,$$$,2,Family Restaurant
McDonald's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\mcdonalds.jpg,2027 Pembina Highway,Winnipeg,MB,R3T 5W7,1 204-949-6019,mcdonalds.ca,$,3,Burger
Barley Brothers,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\barley.jpg,2005 Pembina Highway,Winnipeg,MB,R3T 5W7,1 204-691-3300,barleybrothers.ca,$$$,4,Pub
A&W,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\a-w.jpg,2012 Pembina Highway,Winnipeg,MB,R3T 2G8,1 204-275-3456,awguarantee.ca,$$,3,Burger
North Garden Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\north-garden.jpg,33 University Crescent,Winnipeg,MB,R3T 2N5,1 204-275-2591,northgardenrestaurant.ca,$$,3,Chinese
Pizza Hut,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\pizza-hut.jpg,1910 Pembina Highway,Winnipeg,MB,R3T 4S5,1 204-953-4133,pizzahut.ca,$$,3,Pizza
Aaltos Garden Cafe,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\aalto-s-garden-cafe.jpg,1824 Pembina Highway,Winnipeg,MB,R3T 2H2,1 204-478-6422,canadinns.com,$$,3,Cafe
Huang Pu River Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\huang-pu.jpg,1875 Pembina Highway,Winnipeg,MB,R3T 2G6,1 204-261-4407,,$,4,Chinese
Summer Palace Chinese Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\summer-palace-chinese.jpg,1755 Pembina Highway,Winnipeg,MB,R3T 2G6,1 204-261-9241,summerpalacewpg.com,$,3,Chinese
Pony Corral,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\pony-corral.jpg,1700 Pembina Highway,Winnipeg,MB,R3T 2G2,1 204-275-3687,ponycorral.ca,$$$,3,Pub
Tim Hortons,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\tim-h-stm.jpg,2147 St Mary's Rd,Winnipeg,MB,R2N 3X7,1 204-254-7047,timhortons.ca,$,3,Cafe
Gondola Pizza,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\gondola.jpg,12 Britannica Rd,Winnipeg,MB,R2N 1J4,1 204-255-6440,gondola-pizza.com,$$,4,Pizza
Licks Ice Cream Patio,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\licks.jpg,20 Britannica Rd,Winnipeg,MB,R2N 1J4,1 204-254-7262,,$$$,5,Ice Cream
Robin's Donuts,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\Robins.jpg,1639 St Mary's Rd,Winnipeg,MB,R2N 3W1,1 204-255-6713,robinsdonuts.com,$,3,Cafe
Cafe Lemontree,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\cafe-lemon-tree.jpg,1631 St Mary's Rd,Winnipeg,MB,R2N 1Z4,1 204-691-2454,cafelemontree.com,$,5,Korean
Santa Ana Pizzieria & Bistro,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\santa-ana.jpg,1631 St Mary's Rd,Winnipeg,MB,R2N 1Z4,1 204-415-1440,santaanabistro.ca,$$,4,Pizza
Miriwa Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\miriwa.jpg,1572 St Mary's Rd,Winnipeg,MB,R2M 3W4,1 204-257-1650,miriwa.com,$$,3,Chinese
Smitty's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\smittys-03.jpg,150 Meadowood Dr,Winnipeg,MB,R2M 5L7,1 204-256-1242,smittys.ca,$$,4,Family Restaurant
Burrito Splendido,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\burrito-splendido.jpg,1504 St Mary's Rd,Winnipeg,MB,R2M 3V7,1 204-257-6127,burritosplendidostmaryswinnipeg.com,$$,4,Mexican
Domino's Pizza,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\domino-s-pizza.jpg,166 Meadowood Dr,Winnipeg,MB,R2M 5G8,1 204-987-5559,pizza.dominos.ca,$$,3,Pizza
Montana's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\montanas.jpg,1221 St Mary's Rd,Winnipeg,MB,R2M 5L5,1 204-254-2128,montanas.ca,$$$,4,BBQ
Earls Kitchen & Bar,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\earls.jpg,1215 St Mary's Rd,Winnipeg,MB,R2M 5L5,1 204-254-1600,earls.ca,$$$,3,Steak
Original Joe's Restaurant & Bar,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\original-joe-s.jpg,1220 St Mary's Rd,Winnipeg,MB,R2M 2V6,1 204-414-2966,originaljoes.ca,$$$$,4,Steak
Wendy's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\wendys.jpg,1230 St Mary's Rd,Winnipeg,MB,R2M 3V6,1 204-253-3837,wendys.com,$$,4,Burger
Za Pizza Bistro,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\za-pizza-bistro.jpg,1220 St Mary's Rd,Winnipeg,MB,R2M 3V6,1 204-615-0808,zapizzabistro.com,$$,5,Pizza
Kawaii Crepe,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\kawaii.jpg,1220 St Mary's Rd,Winnipeg,MB,R2M 5S3,1 204-691-3700,kawaiicrepe.ca,$$,4,Bakery
Palatal Express,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\palatal-express.jpg,1220 St Mary's Rd,Winnipeg,MB,R2M 3V6,1 204-691-0880,palatalexpress.com,$,4,Chinese
Starbucks,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\starbucks.jpg,1225 St Mary's Rd,Winnipeg,MB,R2M 5E5,1 204-254-2620,starbucks.ca,$$,3,Cafe
George's Burgers & Subs,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\georges.jpg,1141 St Mary's Rd,Winnipeg,MB,R2M 3T9,1 204-257-3856,,$$,4,Burger
Maxime's Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\maximes.jpg,1131 St Mary's Rd,Winnipeg,MB,R2M 5C1,1 204-257-1521,maximerestaurant.ca,$$$$,3,Steak
Victoria Seafood Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\vic-seafood.jpg,1086 St Mary's Rd,Winnipeg,MB,R2M 4K4,1 204-255-0665,,$$,4,Chinese
Copper Chimney,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\copper-chimney.jpg,1070 St Mary's Rd,Winnipeg,MB,R2M 3T3,1 204-691-5777,copperchimneywpg.com,$$$,4,Indian
